Time, EnergyGeneration, StorageCapacity
2022/1/1/1/52, 2394.008, 15000.0
2022/1/1/2/52, 2244.265, 15000.0
2022/1/1/3/52, 2266.655, 15000.0
2022/1/1/4/52, 2358.621, 15000.0
2022/1/1/5/52, 2536.46, 15000.0
2022/1/1/6/52, 2579.059, 15000.0
2022/1/1/7/52, 2752.914, 15000.0
2022/1/1/8/52, 2928.999, 15000.0
2022/1/1/9/52, 2975.369, 15000.0
2022/1/1/10/52, 3010.925, 15000.0
2022/1/1/11/52, 3150.571, 15000.0
2022/1/1/12/52, 3307.874, 15000.0
2022/1/1/13/52, 3262.081, 15000.0
2022/1/1/14/52, 3285.931, 15000.0
2022/1/1/15/52, 3382.653, 15000.0
2022/1/1/16/52, 3400.438, 15000.0
2022/1/1/17/52, 3486.779, 15000.0
2022/1/1/18/52, 3648.119, 15000.0
2022/1/1/19/52, 3639.906, 15000.0
2022/1/1/20/52, 3514.36, 15000.0
2022/1/1/21/52, 3077.747, 15000.0
2022/1/1/22/52, 2572.814, 15000.0
2022/1/1/23/52, 2514.802, 15000.0
2022/1/1/24/52, 2561.92, 15000.0
2022/1/2/1/52, 1936.528, 15000.0
2022/1/2/2/52, 1489.588, 15000.0
2022/1/2/3/52, 1379.693, 15000.0
2022/1/2/4/52, 1499.73, 15000.0
2022/1/2/5/52, 1523.2, 15000.0
2022/1/2/6/52, 1785.256, 15000.0
2022/1/2/7/52, 1963.647, 15000.0
2022/1/2/8/52, 1951.297, 15000.0
2022/1/2/9/52, 2082.141, 15000.0
2022/1/2/10/52, 2331.118, 15000.0
2022/1/2/11/52, 2532.638, 15000.0
2022/1/2/12/52, 2624.466, 15000.0
2022/1/2/13/52, 2481.313, 15000.0
2022/1/2/14/52, 2386.072, 15000.0
2022/1/2/15/52, 2491.675, 15000.0
2022/1/2/16/52, 2719.89, 15000.0
2022/1/2/17/52, 3105.806, 15000.0
2022/1/2/18/52, 3376.293, 15000.0
2022/1/2/19/52, 3554.831, 15000.0
2022/1/2/20/52, 3502.863, 15000.0
2022/1/2/21/52, 3300.563, 15000.0
2022/1/2/22/52, 2944.224, 15000.0
2022/1/2/23/52, 2762.807, 15000.0
2022/1/2/24/52, 2615.441, 15000.0
2022/1/3/1/1, 2499.859, 15000.0
2022/1/3/2/1, 2398.873, 15000.0
2022/1/3/3/1, 2358.284, 15000.0
2022/1/3/4/1, 2194.83, 15000.0
2022/1/3/5/1, 2173.673, 15000.0
2022/1/3/6/1, 2143.328, 15000.0
2022/1/3/7/1, 2412.167, 15000.0
2022/1/3/8/1, 2686.67, 15000.0
2022/1/3/9/1, 3043.463, 15000.0
2022/1/3/10/1, 3251.741, 15000.0
2022/1/3/11/1, 3297.616, 15000.0
2022/1/3/12/1, 3329.569, 15000.0
2022/1/3/13/1, 3228.479, 15000.0
2022/1/3/14/1, 3027.278, 15000.0
2022/1/3/15/1, 2915.691, 15000.0
2022/1/3/16/1, 2953.483, 15000.0
2022/1/3/17/1, 3083.233, 15000.0
2022/1/3/18/1, 3329.566, 15000.0
2022/1/3/19/1, 3318.581, 15000.0
2022/1/3/20/1, 3183.416, 15000.0
2022/1/3/21/1, 2884.157, 15000.0
2022/1/3/22/1, 2564.122, 15000.0
2022/1/3/23/1, 2707.337, 15000.0
2022/1/3/24/1, 2507.534, 15000.0
2022/1/4/1/1, 2095.989, 15000.0
2022/1/4/2/1, 1911.749, 15000.0
2022/1/4/3/1, 1802.337, 15000.0
2022/1/4/4/1, 1828.772, 15000.0
2022/1/4/5/1, 1971.012, 15000.0
2022/1/4/6/1, 2207.949, 15000.0
2022/1/4/7/1, 2613.32, 15000.0
2022/1/4/8/1, 3135.3, 15000.0
2022/1/4/9/1, 3324.078, 15000.0
2022/1/4/10/1, 3452.53, 15000.0
2022/1/4/11/1, 3495.018, 15000.0
2022/1/4/12/1, 3497.136, 15000.0
2022/1/4/13/1, 3567.301, 15000.0
2022/1/4/14/1, 3515.81, 15000.0
2022/1/4/15/1, 3597.112, 15000.0
2022/1/4/16/1, 3658.795, 15000.0
2022/1/4/17/1, 3721.505, 15000.0
2022/1/4/18/1, 3743.962, 15000.0
2022/1/4/19/1, 3682.595, 15000.0
2022/1/4/20/1, 3523.156, 15000.0
2022/1/4/21/1, 3356.439, 15000.0
2022/1/4/22/1, 3206.367, 15000.0
2022/1/4/23/1, 2915.395, 15000.0
2022/1/4/24/1, 2505.79, 15000.0
2022/1/5/1/1, 2072.534, 15000.0
2022/1/5/2/1, 1940.108, 15000.0
2022/1/5/3/1, 1703.531, 15000.0
2022/1/5/4/1, 1574.011, 15000.0
2022/1/5/5/1, 1474.555, 15000.0
2022/1/5/6/1, 1508.668, 15000.0
2022/1/5/7/1, 1753.579, 15000.0
2022/1/5/8/1, 2052.088, 15000.0
2022/1/5/9/1, 2349.489, 15000.0
2022/1/5/10/1, 2327.347, 15000.0
2022/1/5/11/1, 2347.031, 15000.0
2022/1/5/12/1, 2252.497, 15000.0
2022/1/5/13/1, 2230.258, 15000.0
2022/1/5/14/1, 2230.903, 15000.0
2022/1/5/15/1, 2247.019, 15000.0
2022/1/5/16/1, 2295.602, 15000.0
2022/1/5/17/1, 2516.297, 15000.0
2022/1/5/18/1, 2673.538, 15000.0
2022/1/5/19/1, 2743.339, 15000.0
2022/1/5/20/1, 2811.455, 15000.0
2022/1/5/21/1, 2758.073, 15000.0
2022/1/5/22/1, 2514.759, 15000.0
2022/1/5/23/1, 2338.901, 15000.0
2022/1/5/24/1, 2298.615, 15000.0
2022/1/6/1/1, 2022.834, 15000.0
2022/1/6/2/1, 1850.022, 15000.0
2022/1/6/3/1, 1720.911, 15000.0
2022/1/6/4/1, 1785.637, 15000.0
2022/1/6/5/1, 1884.423, 15000.0
2022/1/6/6/1, 2051.468, 15000.0
2022/1/6/7/1, 2216.627, 15000.0
2022/1/6/8/1, 2657.711, 15000.0
2022/1/6/9/1, 3281.385, 15000.0
2022/1/6/10/1, 3731.931, 15000.0
2022/1/6/11/1, 3988.26, 15000.0
2022/1/6/12/1, 3918.399, 15000.0
2022/1/6/13/1, 3868.764, 15000.0
2022/1/6/14/1, 3771.913, 15000.0
2022/1/6/15/1, 3646.695, 15000.0
2022/1/6/16/1, 3925.09, 15000.0
2022/1/6/17/1, 4053.733, 15000.0
2022/1/6/18/1, 4142.753, 15000.0
2022/1/6/19/1, 4187.718, 15000.0
2022/1/6/20/1, 4277.859, 15000.0
2022/1/6/21/1, 4110.724, 15000.0
2022/1/6/22/1, 3896.367, 15000.0
2022/1/6/23/1, 3643.09, 15000.0
